player_id,player,nfl_team,nfl_season,nfl_targets,nfl_contested_targets,nfl_contested_receptions,nfl_cc_rate,nfl_receptions,nfl_rec_yards,nfl_rec_tds,nfl_yac,nfl_yac_per_rec
48054,Tyler Johnson,Jets,2025,16,4,2,0.5,12,197,1,66,5.5
48055,Jeff Smith,Jets,2022,12,2,0,0.0,8,134,0,41,5.1
48078,Malik Turner,49ers,2025,0,0,0,,0,0,0,0,0.0
48080,Trenton Irwin,Bengals,2022,23,7,4,0.5714285714285714,15,231,4,61,4.1
48080,Trenton Irwin,Bengals,2023,35,5,2,0.4,26,324,1,116,4.5
48080,Trenton Irwin,Bengals,2024,10,4,0,0.0,3,15,0,5,1.7
48107,Nsimba Webster,Bears,2022,3,1,0,0.0,2,14,0,5,2.5
48110,Stanley Morgan,Bengals,2022,1,0,0,,0,0,0,0,0.0
48110,Stanley Morgan,Bengals,2023,0,0,0,,0,0,0,0,0.0
48113,Dante Pettis,Bears,2022,41,10,2,0.2,22,246,3,61,2.8
48113,Dante Pettis,Saints,2024,25,3,1,0.3333333333333333,13,122,1,35,2.7
48113,Dante Pettis,Saints,2025,12,2,0,0.0,9,127,0,86,9.6
48135,Allen Lazard,Packers,2022,102,27,9,0.3333333333333333,60,788,6,266,4.4
48135,Allen Lazard,Jets,2023,50,18,5,0.2777777777777778,24,317,1,56,2.3
48135,Allen Lazard,Jets,2024,63,17,8,0.4705882352941176,38,543,6,162,4.3
48135,Allen Lazard,Jets,2025,18,8,3,0.375,10,70,1,36,3.6
48143,Keelan Doss,Chargers,2023,12,1,0,0.0,7,38,0,16,2.3
48152,Cody Thompson,Seahawks,2023,1,0,0,,1,10,0,3,3.0
48152,Cody Thompson,Buccaneers,2024,0,0,0,,0,0,0,0,0.0
48160,Anthony Miller,Ravens,2024,1,1,1,1.0,1,16,0,0,0.0
48164,Courtland Sutton,Broncos,2022,115,40,16,0.4,66,881,2,138,2.1
48164,Courtland Sutton,Broncos,2023,98,23,12,0.5217391304347826,62,821,10,168,2.7
48164,Courtland Sutton,Broncos,2024,142,37,20,0.5405405405405406,84,1136,8,210,2.5
48164,Courtland Sutton,Broncos,2025,129,36,19,0.5277777777777778,78,1064,7,214,2.7
48170,Cedrick Wilson Jr.,Dolphins,2022,17,5,2,0.4,12,136,0,51,4.3
48170,Cedrick Wilson Jr.,Dolphins,2023,42,12,5,0.4166666666666667,22,296,3,61,2.8
48170,Cedrick Wilson Jr.,Saints,2024,31,4,0,0.0,23,253,1,100,4.3
48170,Cedrick Wilson Jr.,Dolphins,2025,10,3,1,0.3333333333333333,5,44,0,27,5.4
48209,Miles Boykin,Steelers,2022,3,1,1,1.0,2,11,0,0,0.0
48209,Miles Boykin,Steelers,2023,5,2,0,0.0,3,17,0,1,0.3
48228,Tre'Quan Smith,Saints,2022,27,6,4,0.6666666666666666,20,290,1,62,3.1
48228,Tre'Quan Smith,Broncos,2023,0,0,0,,0,0,0,0,0.0
48229,Terry McLaurin,Commanders,2022,121,27,17,0.6296296296296297,77,1191,5,396,5.1
48229,Terry McLaurin,Commanders,2023,136,27,13,0.4814814814814814,81,1023,4,361,4.5
48229,Terry McLaurin,Commanders,2024,121,35,24,0.6857142857142857,85,1121,13,301,3.5
48229,Terry McLaurin,Commanders,2025,65,17,9,0.5294117647058824,39,612,3,100,2.6
48236,Darnell Mooney,Bears,2022,60,6,5,0.8333333333333334,40,493,2,170,4.3
48236,Darnell Mooney,Bears,2023,57,11,2,0.1818181818181818,31,414,1,185,6.0
48236,Darnell Mooney,Falcons,2024,110,28,9,0.3214285714285714,65,992,5,271,4.2
48236,Darnell Mooney,Falcons,2025,77,14,2,0.1428571428571428,32,443,1,73,2.3
48262,Calvin Ridley,Jaguars,2023,146,27,9,0.3333333333333333,80,1097,8,209,2.6
48262,Calvin Ridley,Titans,2024,119,26,11,0.4230769230769231,66,1104,4,243,3.7
48262,Calvin Ridley,Titans,2025,36,8,1,0.125,17,303,0,86,5.1
48267,DJ Moore,Panthers,2022,118,26,14,0.5384615384615384,64,892,7,191,3.0
48267,DJ Moore,Bears,2023,135,29,15,0.5172413793103449,96,1364,8,550,5.7
48267,DJ Moore,Bears,2024,154,27,13,0.4814814814814814,107,1041,6,625,5.8
48267,DJ Moore,Bears,2025,82,14,8,0.5714285714285714,50,682,6,224,4.5
48274,Deebo Samuel,49ers,2022,91,15,4,0.2666666666666666,57,637,2,499,8.8
48274,Deebo Samuel,49ers,2023,93,17,7,0.4117647058823529,63,920,7,519,8.2
48274,Deebo Samuel,49ers,2024,84,15,5,0.3333333333333333,55,762,3,472,8.6
48274,Deebo Samuel,Commanders,2025,110,21,10,0.4761904761904761,76,744,5,497,6.5
48297,N'Keal Harry,Bears,2022,10,4,3,0.75,7,116,1,16,2.3
48297,N'Keal Harry,Vikings,2023,0,0,0,,0,0,0,0,0.0
48327,A.J. Brown,Eagles,2022,148,33,15,0.4545454545454545,94,1548,11,606,6.5
