player_id,player,college_team,college_season,college_targets,college_contested_targets,college_contested_receptions,college_cc_rate,college_receptions,college_rec_yards,college_rec_tds,college_yac,college_yac_per_rec
70721,Kevin Green Jr.,ARIZONA,2023,8,0,0,,8,97,0,96,12.0
70865,Branden Alvarez,S JOSE ST,2021,0,0,0,,0,0,0,0,0.0
70865,Branden Alvarez,S JOSE ST,2022,1,0,0,,0,0,0,0,0.0
70865,Branden Alvarez,S JOSE ST,2023,3,1,0,0.0,2,25,1,1,0.5
70959,Daseau Puffer,IDAHO,2021,5,2,2,1.0,3,34,0,5,1.7
70959,Daseau Puffer,IDAHO,2022,0,0,0,,0,0,0,0,0.0
70985,Jay McEuen,UTAHTC,2022,0,0,0,,0,0,0,0,0.0
71207,Kalani Washington,CHOWAN,2023,4,1,1,1.0,3,14,0,3,1.0
71304,Kyle Ford,USC,2021,28,7,5,0.7142857142857143,21,268,2,80,3.8
71304,Kyle Ford,USC,2022,28,10,6,0.6,16,308,2,152,9.5
71304,Kyle Ford,UCLA,2023,30,8,4,0.5,17,203,0,71,4.2
71345,Bru McCoy,TENNESSEE,2022,76,17,8,0.4705882352941176,50,654,3,265,5.3
71345,Bru McCoy,TENNESSEE,2023,28,7,3,0.4285714285714285,18,228,1,111,6.2
